id,department,tenure,job_role,monthly_income,age,overtime,distance_from_home,engagementScore,job_satisfaction,environment_satisfaction,work_life_balance,attrition,comment,sentiment_score,positive_score,neutral_score,negative_score,sentiment,textblob_polarity,textblob_subjectivity,extracted_keywords,overtime_encoded,predicted_engagement,risk_cluster,turnover_risk,attrition_probability
1,Sales,6,Sales Executive,5993,41,Yes,1,62,4,2,1,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,62.661762170137514,0,Medium,0.1552994825324451
2,Research & Development,10,Research Scientist,5130,49,No,8,65,2,3,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,64.93398954228802,0,Medium,0.14295803658695366
3,Research & Development,0,Laboratory Technician,2090,37,Yes,2,82,3,4,3,1,Very satisfied with my role after 0 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,82.34029514785246,1,Low,0.16139529476400147
4,Research & Development,8,Research Scientist,2909,33,Yes,3,82,3,4,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,82.34998048297778,1,Low,0.11931389475407415
5,Research & Development,2,Laboratory Technician,3468,27,No,2,50,2,1,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,50.11922524723542,0,Medium,0.2929101182815688
6,Research & Development,7,Laboratory Technician,3068,32,No,2,85,4,4,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,84.9159135984963,1,Low,0.11077712584628285
7,Research & Development,1,Laboratory Technician,2670,59,Yes,3,48,1,3,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,47.49198431836563,0,Medium,0.3449616777786985
8,Research & Development,1,Laboratory Technician,2693,30,No,24,82,3,4,3,0,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,82.33906153067872,1,Low,0.2204377544557535
9,Research & Development,9,Manufacturing Director,9526,38,No,23,82,3,4,3,0,Great career growth opportunities in Manufacturing Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, director",0,82.32289843426908,1,Low,0.09734172575776949
10,Research & Development,7,Healthcare Representative,5237,36,No,27,68,3,3,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,67.50366649528321,0,Medium,0.20727113175719228
